prolificInfo,startTime,endTime,windowWidth,windowHeight,storyIndex,firstStoryName,secondStoryName,1-What is your age? (in years),2- What is your level of English proficiency?,3-Which most accurately describes you?,4-What is the highest level of education you have completed?,5-How often do you read long form (novels/textbooks) text online?,6-I feel comfortable using technology.,7-What is your experience with Wattpad?,"8-When you click start, a stopwatch will begin. Please take your time to read the chapter text at your normal pace. Then click finished when you are done reading. The questions will then be revealed. You will not be able to try again.",9-What decision do the four men make when the guards appear?,10-The layout of the webpage is easy to understand and use.,11-Navigating to the next chapter or section is simple and straightforward.,12-The color scheme of the webpage is visually appealing.,13-The font size and style are easy to read.,14-The amount of text displayed on a single page is appropriate and readable.,"15-Are you still paying attention? For this question, please select 'Neutral' specifically.",16-The webpage loads quickly and performs smoothly.,17-The webpage is accessible for users with visual or physical impairments.,18-The design feels cluttered or overwhelming.,19-The webpage needs significant improvement to meet user expectations.,"20-The interactive features (e.g., comments, reactions) improve my reading experience.",21-I enjoy spending time browsing or reading on this webpage.,22-The design keeps me engaged while reading.,"23-The images, icons, or visuals used enhance the reading experience.",24-I am satisfied with the overall design of the webpage.,25-I would recommend this webpage to others who enjoy reading online.,26-Visible(headerNavLogo),26-Visible(headerNavBrowse),26-Visible(headerNavCommunity),26-Visible(headerNavSearch),26-Visible(headerNavWrite),26-Visible(headerNavPremium),26-Visible(headerNavLogin),26-Visible(headerNavSignup),26-Visible(headerStoryChapterPicker),26-Visible(headerStoryAdd),26-Visible(headerStoryVote),26-Visible(headerProgressBar),26-Visible(bodyStoryDetails),26-Visible(bodyChapterHeader),26-Visible(bodyChapterStats),26-Visible(bodySidebar),26-Visible(bodyChapterContent),26-Visible(bodyChapterNavigation),26-Visible(bodyChapterInteractions),26-Visible(bodyInlineComments),26-Visible(bodyCommentSection),26-Visible(bodyRelatedStories),26-Visible(footer),27-Font Size,28-Content Width,29-Font Line Height,30-Letter spacing,31-Font Family,32-Theme,"33-When you click start, a stopwatch will begin. Please take your time to read the chapter text at your normal pace. Then click stop when you're finished. The questions will then be revealed. You will not be able to try again.",34-How does Edmond react to his betrayal?,"35-Visible Interface Elements (e.g., navigation, chapter text, comments)",36-Font Size,37-Content Width,38-Font Line Height,39-Letter spacing,40-Font Family,41-Theme,"42-If any of your answers were no, please provide any additional reasoning.","43-Please verify that your Prolific ID is present and correct. If something has gone wrong, let us know in the textbox below.",44-,9-How does Edmond react to his betrayal?,34-What decision do the four men make when the guards appear?
"{'prolificPid': '611cf8c8a3b45b07bbacb120', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3f644159c39c05e3d1b'}","{'seconds': 1736627106, 'nanoseconds': 382000000}","{'seconds': 1736627887, 'nanoseconds': 157000000}",1536,826,1,KingsMusketeers,TheLostTreasure,38,4,0,2,3,5,1,70580,2.0,5,4,4,4,4,3,4,3,2,2,4,4,4,4,4,4,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,14,625,30,0.0,0,0,76210,0.0,0,0,0,0,0,0,0,,,,,
"{'prolificPid': '605cf03f7dd3c70fc20cf732', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3d390b6fc341bc9f8a1'}","{'seconds': 1736627141, 'nanoseconds': 976000000}","{'seconds': 1736628026, 'nanoseconds': 859000000}",1920,957,0,TheLostTreasure,KingsMusketeers,24,3,1,2,2,4,2,203270,,5,5,4,4,5,3,4,4,5,5,5,4,4,5,4,4,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,18,800,34,0.3,1,1,92260,,0,0,0,0,0,0,0,,,,0.0,2.0
"{'prolificPid': '65cd0bb2a8c70a340c80a5c8', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e2b3c8e0afddc38096'}","{'seconds': 1736627182, 'nanoseconds': 298000000}","{'seconds': 1736628711, 'nanoseconds': 662000000}",1920,919,1,KingsMusketeers,TheLostTreasure,23,3,1,2,0,5,1,34090,2.0,4,5,4,4,5,3,5,2,2,2,1,4,2,2,4,3,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,18,675,34,0.1,2,1,52420,0.0,0,0,0,1,1,1,0,,,,,
"{'prolificPid': '5ee68355016ec23e95a63c19', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3df928b313d2cc683c8'}","{'seconds': 1736627196, 'nanoseconds': 306000000}","{'seconds': 1736627643, 'nanoseconds': 53000000}",1536,864,1,KingsMusketeers,TheLostTreasure,24,3,0,3,1,5,2,22870,1.0,4,4,4,2,2,3,4,1,5,5,2,3,2,2,3,2,True,True,True,True,False,True,True,True,True,True,False,False,True,True,False,False,True,False,True,False,True,True,False,14,650,38,0.6,2,2,23820,0.0,0,0,0,0,0,0,0,,,,,
"{'prolificPid': '5b8d7d77b1b22d00017e2daf', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e8710001872f7081a9'}","{'seconds': 1736627197, 'nanoseconds': 22000000}","{'seconds': 1736627689, 'nanoseconds': 260000000}",2560,1271,1,KingsMusketeers,TheLostTreasure,32,3,1,2,3,5,0,122470,2.0,4,5,4,2,4,3,4,2,2,2,3,4,3,4,4,4,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,22,650,30,0.2,0,0,52370,0.0,0,0,0,0,0,0,0,,,,,
"{'prolificPid': '611ffc2ea28e21fa33671d4c', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e6fd5ee17b7d8ab104'}","{'seconds': 1736627221, 'nanoseconds': 52000000}","{'seconds': 1736627625, 'nanoseconds': 512000000}",1440,778,0,TheLostTreasure,KingsMusketeers,29,4,0,2,1,5,0,46090,,5,5,5,5,5,3,5,3,1,2,3,4,4,4,4,4,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,18,650,26,-0.3,2,0,21580,,0,0,0,0,0,0,0,,,,0.0,2.0
"{'prolificPid': '5ff45beefdb6e6b063b4c520', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3df144ca76eee33063f'}","{'seconds': 1736627223, 'nanoseconds': 74000000}","{'seconds': 1736627883, 'nanoseconds': 406000000}",1920,953,0,TheLostTreasure,KingsMusketeers,38,4,1,2,2,4,0,55110,,5,5,5,4,4,3,5,5,2,2,5,4,4,5,4,4,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False,14,700,40,1.5,0,1,61160,,0,0,0,0,0,0,0,,,,0.0,1.0
"{'prolificPid': '5e12048c7605fe8839180a14', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d40025ab7625ed865a20'}","{'seconds': 1736627223, 'nanoseconds': 281000000}","{'seconds': 1736627584, 'nanoseconds': 236000000}",1920,927,1,KingsMusketeers,TheLostTreasure,23,3,1,2,1,5,0,66280,2.0,5,5,4,4,4,3,4,4,4,4,3,4,5,5,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,650,30,0.0,0,0,43590,0.0,0,0,0,0,0,0,0,,,,,
"{'prolificPid': '5e7a2fc429c35307d86105a1', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d4063a3aec69b24930fa'}","{'seconds': 1736627252, 'nanoseconds': 552000000}","{'seconds': 1736628225, 'nanoseconds': 167000000}",1920,919,0,TheLostTreasure,KingsMusketeers,30,3,1,4,1,5,1,100060,,5,5,5,3,3,3,5,3,1,1,5,4,4,3,4,3,True,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,True,True,False,True,False,False,False,18,700,30,0.1,0,0,46930,,0,0,1,0,0,0,0,"An option to ""justify"" the text (""justify"" as in MS Word) would be great.",,,0.0,2.0
"{'prolificPid': '611cfda46e28a6675bc39937', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d4033e5a37e918e6103f'}","{'seconds': 1736627261, 'nanoseconds': 743000000}","{'seconds': 1736627802, 'nanoseconds': 871000000}",1536,864,0,TheLostTreasure,KingsMusketeers,24,4,1,1,1,5,1,42800,,5,5,5,5,5,3,5,3,1,4,5,4,5,5,5,5,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,625,30,0.0,3,3,36450,,0,1,1,1,1,1,0,everything was great i prefer dark theme which is easier on eyes and the font i used seemed to be easier to read online as it wasnt so compacted together,,,0.0,2.0
